[Client] Connected to Donkey Sim at 127.0.0.1:9091
[Client] Listening for sim messages...
[Sim] Scene selection ready.
[Client] Loading scene: generated_track
[Sim] Car loaded — ready to drive.
[Main] Waiting for first telemetry packet...
cte=  0.23  speed= 0.00  hit=none
cte=  0.23  speed= 0.07  hit=none
cte=  0.23  speed= 0.20  hit=none
cte=  0.23  speed= 0.32  hit=none
cte=  0.23  speed= 0.45  hit=none
cte=  0.38  speed= 0.57  hit=none
cte=  0.31  speed= 0.68  hit=none
cte=  0.23  speed= 0.81  hit=none
cte=  0.13  speed= 0.92  hit=none
cte=  0.02  speed= 1.05  hit=none
cte= -0.05  speed= 1.17  hit=none
cte= -0.06  speed= 1.27  hit=none
cte= -0.07  speed= 1.38  hit=none
cte= -0.08  speed= 1.50  hit=none
cte= -0.09  speed= 1.61  hit=none
cte= -0.09  speed= 1.71  hit=none
cte= -0.09  speed= 1.80  hit=none
cte= -0.10  speed= 1.87  hit=none
cte= -0.09  speed= 1.94  hit=none
cte= -0.09  speed= 1.99  hit=none

CTE + PID follower running. Press Ctrl-C to stop, Ctrl-R to reset car.
Hot-reload enabled: save CONFIG in main.py or path_follower.py to update live.

cte= -0.08  speed= 2.04  hit=none
cte= -0.07  speed= 2.08  hit=none
cte= -0.05  speed= 2.11  hit=none
cte= -0.04  speed= 2.14  hit=none
cte= -0.02  speed= 2.17  hit=none
cte=  0.01  speed= 2.19  hit=none
cte=  0.03  speed= 2.21  hit=none
cte=  0.05  speed= 2.22  hit=none
cte=  0.08  speed= 2.24  hit=none
cte=  0.10  speed= 2.25  hit=none
cte=  0.11  speed= 2.26  hit=none
cte=  0.13  speed= 2.26  hit=none
cte=  0.14  speed= 2.27  hit=none
cte=  0.14  speed= 2.28  hit=none
cte=  0.14  speed= 2.28  hit=none
cte=  0.14  speed= 2.29  hit=none
cte=  0.13  speed= 2.29  hit=none
cte=  0.10  speed= 2.29  hit=none
cte= -0.16  speed= 2.30  hit=none
cte= -0.43  speed= 2.30  hit=none
cte= -0.85  speed= 2.30  hit=none
cte= -1.32  speed= 2.30  hit=none
cte= -1.71  speed= 2.29  hit=none
cte= -2.31  speed= 2.28  hit=none
cte= -2.84  speed= 2.26  hit=none
cte= -3.11  speed= 2.24  hit=none
cte= -3.66  speed= 2.21  hit=none
cte= -4.11  speed= 2.18  hit=none

[Main] Car off track (cte=-4.11) — resetting car...
[Client] Car reset to start.
cte= -4.46  speed= 2.17  hit=none

[Main] Car off track (cte=-4.46) — resetting car...
[Client] Car reset to start.
cte= -4.59  speed= 2.15  hit=none

[Main] Car off track (cte=-4.59) — resetting car...
[Client] Car reset to start.
cte= -5.09  speed= 2.13  hit=none

[Main] Car off track (cte=-5.09) — resetting car...
[Client] Car reset to start.
cte= -5.57  speed= 2.11  hit=none

[Main] Car off track (cte=-5.57) — resetting car...
[Client] Car reset to start.
cte=  0.00  speed= 0.38  hit=none
cte=  0.00  speed= 0.03  hit=none
cte=  0.00  speed= 0.02  hit=none
cte=  0.00  speed= 0.01  hit=none
cte=  0.00  speed= 0.38  hit=none
cte=  0.00  speed= 0.03  hit=none
cte=  0.00  speed= 0.02  hit=none
cte=  0.00  speed= 0.01  hit=none
cte=  0.00  speed= 0.38  hit=none
cte=  0.00  speed= 0.03  hit=none
cte=  0.00  speed= 0.02  hit=none
cte=  0.00  speed= 0.01  hit=none
cte=  0.00  speed= 0.38  hit=none
cte=  0.00  speed= 0.03  hit=none
cte=  0.00  speed= 0.02  hit=none
cte=  0.00  speed= 0.01  hit=none
cte=  0.00  speed= 0.38  hit=none
cte=  0.00  speed= 0.05  hit=none
cte=  0.00  speed= 0.20  hit=none
cte=  0.00  speed= 0.32  hit=none
cte= -0.00  speed= 0.44  hit=none
cte= -0.00  speed= 0.57  hit=none
cte= -0.00  speed= 0.68  hit=none
cte= -0.00  speed= 0.81  hit=none
cte= -0.01  speed= 0.92  hit=none
cte= -0.01  speed= 1.04  hit=none
cte= -0.01  speed= 1.16  hit=none
cte= -0.01  speed= 1.27  hit=none
cte= -0.01  speed= 1.38  hit=none
cte= -0.01  speed= 1.50  hit=none
cte= -0.01  speed= 1.61  hit=none
cte= -0.00  speed= 1.71  hit=none
cte= -0.00  speed= 1.80  hit=none
cte=  0.00  speed= 1.88  hit=none
cte=  0.00  speed= 1.94  hit=none
cte=  0.01  speed= 2.00  hit=none
cte=  0.01  speed= 2.05  hit=none
cte=  0.02  speed= 2.09  hit=none
cte=  0.02  speed= 2.12  hit=none
cte=  0.03  speed= 2.15  hit=none
cte=  0.03  speed= 2.17  hit=none
cte=  0.04  speed= 2.20  hit=none
cte=  0.04  speed= 2.21  hit=none
cte=  0.04  speed= 2.23  hit=none
cte=  0.04  speed= 2.24  hit=none
cte=  0.04  speed= 2.25  hit=none
cte=  0.04  speed= 2.26  hit=none
cte=  0.03  speed= 2.27  hit=none
cte=  0.03  speed= 2.27  hit=none
cte=  0.02  speed= 2.28  hit=none
cte=  0.01  speed= 2.29  hit=none
cte=  0.00  speed= 2.29  hit=none
cte= -0.00  speed= 2.29  hit=none
cte= -0.02  speed= 2.30  hit=none
cte= -0.27  speed= 2.30  hit=none
cte= -0.53  speed= 2.30  hit=none
cte= -0.92  speed= 2.30  hit=none
cte= -1.37  speed= 2.30  hit=none
cte= -1.73  speed= 2.29  hit=none
cte= -2.30  speed= 2.28  hit=none
cte= -2.81  speed= 2.26  hit=none
cte= -3.07  speed= 2.24  hit=none
cte= -3.59  speed= 2.21  hit=none
cte= -4.01  speed= 2.19  hit=none

[Main] Car off track (cte=-4.01) — resetting car...
[Client] Car reset to start.
cte= -4.33  speed= 2.18  hit=none

[Main] Car off track (cte=-4.33) — resetting car...
[Client] Car reset to start.
cte= -4.48  speed= 2.16  hit=none

[Main] Car off track (cte=-4.48) — resetting car...
[Client] Car reset to start.
cte= -4.95  speed= 2.13  hit=none

[Main] Car off track (cte=-4.95) — resetting car...
[Client] Car reset to start.
cte= -5.41  speed= 2.11  hit=none

[Main] Car off track (cte=-5.41) — resetting car...
[Client] Car reset to start.
cte=  0.00  speed= 0.38  hit=none
cte=  0.00  speed= 0.03  hit=none
cte=  0.00  speed= 0.02  hit=none
cte=  0.00  speed= 0.01  hit=none
cte=  0.00  speed= 0.38  hit=none
cte=  0.00  speed= 0.03  hit=none
cte=  0.00  speed= 0.02  hit=none
cte=  0.00  speed= 0.01  hit=none
cte=  0.00  speed= 0.38  hit=none
cte=  0.00  speed= 0.03  hit=none
